id,title,status,is_featured,brand,discount,default price,iebg price,kellihers price,independence price,ewl price
1,3 GANG POP UP SOCKETS,active,0,Gewiss,0.0,0.0,0,0,0,0
2,30 WATT LED FLOOD LIGHT,active,0,Gewiss,0.0,0.0,0,0,0,0
3,30 WATT LINEAR LOW BAY,active,0,Gewiss,0.0,0.0,0,0,0,0
4,3000K LED KIT,active,1,Gewiss,0.0,0.0,0,0,0,0
5,4 CHANNEL RGBW WALL PANEL,active,0,Gewiss,0.0,0.0,0,0,0,0
6,4000K LED KIT,active,1,Gewiss,0.0,0.0,0,0,0,0
7,45 DEGREE ANGLED PROFILE,active,1,Gewiss,0.0,0.0,0,0,0,0
8,50 WATT LINEAR LOW BAY,active,0,Gewiss,0.0,0.0,0,0,0,0
9,ALICIA,active,1,Gewiss,0.0,0.0,0,0,0,0
10,ALUMINIUM PROFILE - SLIMLINE,active,1,Gewiss,0.0,0.0,0,0,0,0
11,AMIGO,active,1,Gewiss,0.0,0.0,0,0,0,0
12,ARICA BOLLARD,active,0,Gewiss,0.0,0.0,0,0,0,0
13,BEG LUXOMAT 92190,active,1,Gewiss,0.0,0.0,0,0,0,0
14,BEG LUXOMAT 92196,active,1,Gewiss,0.0,0.0,0,0,0,0
15,CARMONA,active,0,Gewiss,0.0,0.0,0,0,0,0
16,CP1030,active,0,Gewiss,0.0,0.95,0,0,0,0
17,CP1036,active,1,Gewiss,0.0,0.59,0,0,0,0
18,CP1037,active,0,Gewiss,0.0,0.69,0,0,0,0
19,CP1038,active,0,Gewiss,0.0,0.88,0,0,0,0
20,CP1040,active,1,Gewiss,0.0,1.18,0,0,0,0
21,CP1041,active,0,Gewiss,0.0,1.75,0,0,0,0
22,CP1042,active,1,Gewiss,0.0,3.2,0,0,0,0
23,CP1043,active,1,Gewiss,0.0,5.7,0,0,0,0
24,CP1044,active,1,Gewiss,0.0,9.0,0,0,0,0
25,CP1045,active,0,Gewiss,0.0,12.0,0,0,0,0
26,CP1046,active,0,Gewiss,0.0,19.0,0,0,0,0
27,CP1062,active,1,Gewiss,0.0,6.0,0,0,0,0
28,CP1063,active,0,Gewiss,0.0,9.95,0,0,0,0
29,CP1064,active,1,Gewiss,0.0,13.95,0,0,0,0
30,CP5001,active,0,Gewiss,0.0,18.5,0,0,0,0
31,CP5002,active,0,Gewiss,0.0,21.0,0,0,0,0
32,CP5003,active,1,Gewiss,0.0,26.0,0,0,0,0
33,CP5003D,active,1,Gewiss,0.0,29.0,0,0,0,0
34,CP5004,active,1,Gewiss,0.0,34.0,0,0,0,0
35,CP5004D,active,1,Gewiss,0.0,36.0,0,0,0,0
36,CP5005 (FMB),active,1,Gewiss,0.0,0.0,0,0,0,0
37,CP5005 FARM METER BOX,active,0,Gewiss,0.0,0.0,0,0,0,0
38,CP5006,active,1,Gewiss,0.0,58.0,0,0,0,0
39,CP5008,active,0,Gewiss,0.0,50.0,0,0,0,0
40,CP5009,active,1,Gewiss,0.0,99.0,0,0,0,0
41,CP501,active,1,Gewiss,0.0,22.0,0,0,0,0
42,CP5011,active,0,Gewiss,0.0,25.0,0,0,0,0
43,CP5012,active,0,Gewiss,0.0,31.0,0,0,0,0
44,CP5013D,active,0,Gewiss,0.0,41.0,0,0,0,0
45,CP5014,active,1,Gewiss,0.0,52.0,0,0,0,0
46,CP5014D,active,0,Gewiss,0.0,57.0,0,0,0,0
47,CP5015,active,0,Gewiss,0.0,48.0,0,0,0,0
48,CP5016,active,1,Gewiss,0.0,99.0,0,0,0,0
49,CP503,active,0,Gewiss,0.0,22.0,0,0,0,0
50,CP504,active,1,Gewiss,0.0,28.0,0,0,0,0
51,CP505,active,1,Gewiss,0.0,36.0,0,0,0,0
52,CP506,active,0,Gewiss,0.0,37.0,0,0,0,0
53,CP508,active,1,Gewiss,0.0,110.0,0,0,0,0
54,CP511,active,1,Gewiss,0.0,0.0,0,0,0,0
55,CS31010,active,1,Gewiss,0.0,0.0,0,0,0,0
56,CS31012,active,0,Gewiss,0.0,0.0,0,0,0,0
57,CS31016,active,0,Gewiss,0.0,0.0,0,0,0,0
58,CS31020,active,0,Gewiss,0.0,0.0,0,0,0,0
59,CS31025,active,1,Gewiss,0.0,0.0,0,0,0,0
60,Combi Units,active,0,Gewiss,0.0,0.0,0,0,0,0
61,DELFINA STREET LIGHT,active,0,Gewiss,0.0,0.0,0,0,0,0
62,DOUBLE T8 LIGHTING FIXTURE WITH RADIUM LED,active,1,Gewiss,0.0,0.0,0,0,0,0
63,DX30112,active,0,Gewiss,0.0,0.0,0,0,0,0
64,DX30114,active,0,Gewiss,0.0,0.0,0,0,0,0
65,DX30116,active,0,Gewiss,0.0,0.97,0,0,0,0
66,DX30120,active,0,Gewiss,0.0,1.16,0,0,0,0
67,DX30122,active,0,Gewiss,0.0,0.0,0,0,0,0
68,DX30125,active,0,Gewiss,0.0,1.47,0,0,0,0
69,DX30128,active,0,Gewiss,0.0,1.79,0,0,0,0
70,DX30132,active,1,Gewiss,0.0,0.0,0,0,0,0
71,DX30135,active,1,Gewiss,0.0,0.0,0,0,0,0
72,DX30140,active,0,Gewiss,0.0,0.0,0,0,0,0
73,DX30150,active,0,Gewiss,0.0,0.0,0,0,0,0
74,DX30160,active,1,Gewiss,0.0,0.0,0,0,0,0
75,DX54110,active,0,Gewiss,0.0,0.0,0,0,0,0
76,DX54112,active,0,Gewiss,0.0,0.0,0,0,0,0
77,DX54116,active,1,Gewiss,0.0,0.61,0,0,0,0
78,DX54120,active,0,Gewiss,0.0,0.67,0,0,0,0
79,DX54122,active,0,Gewiss,0.0,0.0,0,0,0,0
80,DX54125,active,0,Gewiss,0.0,0.92,0,0,0,0
81,DX54128,active,1,Gewiss,0.0,1.05,0,0,0,0
82,DX54132,active,0,Gewiss,0.0,0.0,0,0,0,0
83,DX54140,active,0,Gewiss,0.0,0.0,0,0,0,0
84,DX54150,active,1,Gewiss,0.0,0.0,0,0,0,0
