id,title,status,is_featured,brand,iebg price,kellihers price,independence price,EWL price
1,3 GANG POP UP SOCKETS,inactive,0,Gewiss,0.00,0.00,0.00,0.00
2,30 WATT LED FLOOD LIGHT,inactive,0,Gewiss,0.00,0.00,0.00,0.00
3,30 WATT LINEAR LOW BAY,inactive,0,Gewiss,0.00,0.00,0.00,0.00
4,3000K LED KIT,inactive,1,Gewiss,0.00,0.00,0.00,0.00
5,4 CHANNEL RGBW WALL PANEL,inactive,0,Gewiss,0.00,0.00,0.00,0.00
6,4000K LED KIT,inactive,1,Gewiss,0.00,0.00,0.00,0.00
7,45 DEGREE ANGLED PROFILE,inactive,1,Gewiss,0.00,0.00,0.00,0.00
8,50 WATT LINEAR LOW BAY,inactive,0,Gewiss,0.00,0.00,0.00,0.00
9,ALICIA,inactive,1,Gewiss,0.00,0.00,0.00,0.00
10,ALUMINIUM PROFILE - SLIMLINE,inactive,1,Gewiss,0.00,3.00,0.00,0.00
11,AMIGO,inactive,1,Gewiss,0.00,0.00,0.00,0.00
12,ARICA BOLLARD,inactive,0,Gewiss,0.00,0.00,0.00,0.00
13,BEG LUXOMAT 92190,inactive,1,Gewiss,0.00,34.00,0.00,0.00
14,BEG LUXOMAT 92196,inactive,1,Gewiss,0.00,34.00,0.00,0.00
15,CARMONA,inactive,0,Gewiss,0.00,0.00,0.00,0.00
60,Combi Units,active,0,Gewiss,0.00,0.00,0.00,0.00
16,CP1030,active,0,Vinpower,0.85,0.85,0.85,0.85
17,CP1036,active,1,Vinpower,0.59,0.59,0.59,0.59
18,CP1037,active,0,Vinpower,0.69,0.69,0.69,0.69
19,CP1038,active,0,Vinpower,0.88,0.88,0.88,0.88
20,CP1040,active,1,Vinpower,1.18,1.18,1.18,1.18
21,CP1041,active,0,Vinpower,1.75,1.75,1.75,1.75
22,CP1042,active,1,Vinpower,3.20,3.20,3.20,3.20
23,CP1043,active,1,Vinpower,5.70,5.70,5.70,5.70
24,CP1044,active,1,Vinpower,9.00,9.00,9.00,9.00
25,CP1045,active,0,Vinpower,12.00,12.00,12.00,12.00
26,CP1046,active,0,Vinpower,19.00,19.00,19.00,19.00
27,CP1062,active,1,Vinpower,6.00,6.00,6.00,6.00
28,CP1063,active,0,Vinpower,9.95,9.95,9.95,9.95
29,CP1064,active,1,Vinpower,13.95,13.95,13.95,13.95
30,CP5001,active,0,Vinpower,4.50,4.50,4.50,4.50
31,CP5002,active,0,Vinpower,18.50,18.50,18.50,18.50
32,CP5003,active,1,Vinpower,21.00,21.00,21.00,21.00
33,CP5003D,active,1,Vinpower,26.00,26.00,26.00,26.00
34,CP5004,active,1,Vinpower,29.00,29.00,29.00,29.00
35,CP5004D,active,1,Vinpower,34.00,34.00,34.00,34.00
36,CP5005 (FMB),active,1,Vinpower,36.00,36.00,36.00,36.00
37,CP5005 FARM METER BOX,active,0,Vinpower,32.00,32.00,32.00,32.00
38,CP5006,active,1,Vinpower,58.00,58.00,58.00,58.00
39,CP5008,active,0,Vinpower,50.00,50.00,50.00,50.00
40,CP5009,active,1,Vinpower,99.00,99.00,99.00,99.00
41,CP501,active,1,Vinpower,22.00,22.00,22.00,22.00
42,CP5011,active,0,Vinpower,26.00,26.00,26.00,26.00
43,CP5012,active,0,Vinpower,31.00,31.00,31.00,31.00
44,CP5013D,active,0,Vinpower,41.00,41.00,41.00,41.00
45,CP5014,active,1,Vinpower,52.00,52.00,52.00,52.00
46,CP5014D,active,0,Vinpower,57.00,57.00,57.00,57.00
47,CP5015,active,0,Vinpower,48.00,48.00,48.00,48.00
48,CP5016,active,1,Vinpower,99.00,99.00,99.00,99.00
49,CP503,active,0,Vinpower,26.00,26.00,26.00,26.00
50,CP504,active,1,Vinpower,28.00,28.00,28.00,28.00
51,CP505,active,1,Vinpower,36.00,36.00,36.00,36.00
