name,price
CP1020,0.45
CP1021,0.55
CP1030,0.95
CP1036,0.59
CP1037,0.69
CP1038,0.88
CP1040,1.18
CP1041,1.75
CP1042,3.2
CP1043,5.7
CP1044,9
CP1045,12
CP1046,19
CP1062,6
CP1063,9.95
CP1064,13.95
CP5001,18.5
CP5002,21
CP5003,26
CP5003D,29
CP5004,34
CP5004D,36
CP5005,32
CP5006,58
CP5008,50
CP5009,99
CP501,22
CP5011,25
CP5012,31
CP5013D,41
CP5014,52
CP5014D,57
CP5015,48
CP5016,99
CP5023,350
CP503,22
CP504,28
CP505,36
CP506,37
CP508,110
DX30116,0.97
DX30120,1.16
DX30125,1.47
DX30128,1.79
DX54116,0.61
DX54120,0.67
DX54125,0.92
DX54128,1.05
EMC1,0.12
EMC2,0.0001
EMC3,0.05
VP1302,2.5
VP1304,4
VP1306,5
VP1308,6
VP1430,2.5
VP30001,1.5
VP30004,1.5
VP30008,2.5
VP30009,3
VP30012,3.46
VP30015,3.46
VP30019,4.11
VP30020,4.58
VP30023,2.72
VP30026,2.5
VP30030,3.42
VP30031,4
VP30034,4.39
VP30037,4.39
VP30041,4.82
VP30042,5.56
VP30059,32.01
VP30060,35.67
VP30061,39.49
VP31048,14.88
VP31052,16.71
VP31053,18.02
VP32001,2.2
VP32004,2.2
VP32008,3
VP32009,3.5
VP32012,4.27
VP32015,4.27
VP32019,4.41
VP32020,5.51
VP32023,3.36
VP32026,2.75
VP32030,4.06
VP32031,4.91
VP32034,5.37
VP32037,5.37
VP32041,6.31
VP32042,6.97
VP32401,5
VP32404,5
VP32408,5.5
VP32409,6
VP32412,7.38
VP32415,7.38
VP32419,7.81
VP32420,8.42
VP32423,6.97
VP32426,5.5
VP32430,7.53
VP32431,8.13
VP32434,8.31
VP32437,8.31
VP32441,8.64
VP32442,9.5
VP33048,17.71
VP33052,19.7
VP33053,21.67
VP33059,35.08
VP33060,39.21
VP33061,43.13
