name,price
20208,6.11
20576,2.69
20577,4.93
26215/3,12.59
26215/4,18.33
27041,3.05
27042,3.05
27043,4.51
27044,7.56
27831,4.83
27832,6.68
27833,5.24
27834,7.79
27843,8.4
40001,10.16
40003,13.99
40022,2.37
40023,3.41
40102,17.13
40113,44.13
40401,6.55
44001,0.92
44002,1.17
44003,1.4
44004,2.72
44005,2.97
44006,4.51
44007,8.63
44204,2.03
44205,2.08
44206,3.01
44207,6.04
44208,9.89
44209,17.51
44210,25.41
44211,38.03
44214,3.89
44215,3.89
44216,5.83
44217,9.97
44218,15.4
44219,26.49
44220,35.51
44221,51.24
60001H,1.85
60004H,1.85
60008H,4.43
60009H,4.91
60012H,5.81
60015H,5.81
60019H,6.19
60020H,6.48
60023H,6.19
60026H,4.67
60030H,8.13
60031H,9.09
60034H,9.89
60037H,6.36
60041H,11.41
60042H,12
60401,4.65
60426,7.89
60431,10.13
60437,11.31
60442,12.93
61048H,42.8
61052H,45.6
61053H,50
61448,27.11
61453,31.92
62001H,2.73
62004H,2.73
62008H,6.19
62009H,6.8
62012H,8
62015H,8
62019H,8.45
62020H,8.8
62023H,8.29
62026H,7.93
62030H,11.41
62031H,12.59
62034H,13.89
62037H,10.89
62041H,15.63
62042H,16.27
62224H,8.69
62227H,8.69
62401,5.71
62404,5.71
62409,6.77
62415,8.85
62420,10.31
62423,9.75
62426,9.07
62430,9.75
62431,10.81
62437,13.49
62441,14.11
62442,15.07
62496,13.49
62499,11.53
62504,12.43
62505,13.49
62511,16.13
62515,16.57
62516,18.25
63052H,53.6
63053H,54.8
63448,35.73
63453,37.47
63522,40.27
63527,41.16
64022,38.31
64024,33.88
64204,12.09
66204N,31.08
66209N,33.03
66215N,35.53
66220N,42.43
70431,15.71
70432P,15.61
70433P,14.51
70434,17.33
70435P,16.67
70436P,16.19
70437P,27.48
70438P,27.77
