product_model,product_link,image_found,pdf_found,desc_found
GW27831,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27831,True,True,False
GW27832,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27832,True,True,False
GW27833,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27833,True,True,False
GW27834,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27834,True,True,False
GW26215/3,,False,False,False
GW26215/4,,False,False,False
GW26215/6,,False,False,False
GW26215/8,,False,False,False
GW26215/12,,False,False,False
GW20571,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20571,True,True,False
GW20572,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20572,True,True,False
GW20503,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20503,True,True,False
GW20504,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20504,True,True,False
GW20576,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20576,True,True,False
GW20577,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20577,True,True,False
GW20579,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20579,True,True,False
GW20559,,False,False,False
GW20528,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20528,True,True,False
GW20510,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20510,True,True,False
GW20512,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20512,True,True,False
GW20521,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/system---domestic-range-modular-devices/GW20521,True,True,False
GW27843,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27843,True,True,False
GW26224,,False,False,False
GW26220/15,,False,False,False
GW27415,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27415,True,True,False
GW27416,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27416,True,True,False
GW27417,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27417,True,True,False
GW27418,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27418,True,True,False
GW27419,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/domotics/27-combi-range-wall-mounting-enclosures-and-modular-components/GW27419,True,True,False
GW60001H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60001H,True,True,False
GW60004H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60004H,True,True,False
GW60008H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60008H,True,True,False
GW60009H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60009H,True,True,False
GW60012H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60012H,True,True,False
GW60015H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60015H,True,True,False
GW60019H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60019H,True,True,False
GW60020H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60020H,True,True,False
GW60064,,False,False,False
GW60065,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW60065,True,True,False
GW60066,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW60066,True,True,False
GW60067,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW60067,False,False,False
