ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_is_cornerstone,Meta: _yoast_wpseo_content_score,Meta: _download_type,Meta: _yoast_wpseo_focuskw_text_input,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _wpas_done_all
189,variation,GLED -S4D (White),,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,55,,,,https://www.derrywood.com/wp-content/uploads/2013/12/Path-Lights-White.png,,,,,,,,,0,,,,,,,,,,
190,variation,GLED -S4D (Blue),,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,55,,,,https://www.derrywood.com/wp-content/uploads/2013/12/Path-Lights-Blue.png,,,,,,,,,1,,,,,,,,,,
191,variation,GLED -S4D (Green),,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,55,,,,https://www.derrywood.com/wp-content/uploads/2013/12/Path-Lights-Green.png,,,,,,,,,2,,,,,,,,,,
197,variation,GLED-11S (White),,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,68,,,,,,,,,,,,,0,,,,,,,,,,
200,variation,GLED-610SBA (White),,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,59,,,,https://www.derrywood.com/wp-content/uploads/2013/12/Pond-Lights-White.png,,,,,,,,,0,,,,,,,,,,
201,variation,GLED-610SBA (Green),,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,59,,,,https://www.derrywood.com/wp-content/uploads/2013/12/Pond-Lights-Green.png,,,,,,,,,1,,,,,,,,,,
202,variation,GLED-610SBA (Blue),,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,59,,,,https://www.derrywood.com/wp-content/uploads/2013/12/Pond-Lights-Blue.png,,,,,,,,,2,,,,,,,,,,
545,simple,,LED Moon Ring,1,0,visible,,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/01/LEDRING-SPECIFICATION.pdf"">LED RING SPECIFICATION</a>",,,taxable,,1,,,0,0,,,,,0,,,,HILCLARE LIGHTING RANGE,"architectural lighting, hotel lighting, led moon ring, moon ring",,"https://www.derrywood.com/wp-content/uploads/2017/01/derrywood-led-ring-glow.gif, https://www.derrywood.com/wp-content/uploads/2016/12/moonring.jpg, https://www.derrywood.com/wp-content/uploads/2017/01/LED-Ring-For-Dundrum.jpg, https://www.derrywood.com/wp-content/uploads/2017/05/Untitled.jpg",,,,,,,,,0,,,30,,,,,,,
555,simple,,gw704311,1,0,visible,,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/03/70441.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/03/70441-300x148.png"" alt="""" width=""300"" height=""148"" class=""alignnone size-medium wp-image-688"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range,"Gewiss, Gewiss Electrical Products, Gewiss Switches, Roary switches",,"https://www.derrywood.com/wp-content/uploads/2013/12/gw704311.jpg, https://www.derrywood.com/wp-content/uploads/2013/12/images.jpg",,,,,,,,,0,,,30,,,,,,,
560,simple,,Gw44206,1,1,visible,JUNCTION BOXES WITH PLAIN SCREWED LID - IP56 - INTERNAL DIMENSIONS 150X110X70 - SMOOTH WALLS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/03/gw-44206-spec.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/03/gw-44206-spec-300x159.png"" alt="""" width=""300"" height=""159"" class=""alignnone size-medium wp-image-673"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Enclosure, Gewiss Products, gw 44206",,"https://www.derrywood.com/wp-content/uploads/2017/03/gewiss-44206.jpg, https://www.derrywood.com/wp-content/uploads/2017/03/GW-44209.jpg",,,,,,,,,0,14,,30,,,,,,,
